motor_l ,motar_r ,motor_l_lowpass ,motor_r_lowpass
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 0, 0.000000, 0.000000
0, 3, 0.000000, 0.000000
0, 9, 0.000000, 0.000000
0, 22, 0.000000, 0.000000
0, 31, 0.000000, 0.000000
0, 46, 0.000000, 0.000000
0, 56, 0.000000, 0.000000
0, 73, 0.000000, 0.000000
0, 82, 0.000000, 0.000000
0, 101, 0.000000, 0.000000
0, 111, 0.000000, 0.000000
0, 131, 0.000000, 0.000000
0, 142, 0.000000, 0.000000
0, 164, 0.000000, 0.000000
0, 177, 0.000000, 0.000000
0, 200, 0.000000, 0.000000
0, 213, 0.000000, 0.000000
0, 238, 0.000000, 0.000000
0, 251, 0.000000, 0.000000
0, 277, 0.000000, 0.000000
0, 292, 0.000000, 0.000000
0, 321, 0.000000, 0.000000
0, 338, 0.000000, 0.000000
0, 367, 0.000000, 0.000000
0, 383, 0.000000, 0.000000
0, 414, 0.000000, 0.000000
0, 429, 0.000000, 0.000000
5, 456, 0.285750, 0.285750
19, 469, 1.955600, 1.955600
27, 482, 5.963994, 5.963994
44, 510, 12.379765, 12.379765
52, 521, 20.843313, 20.843313
67, 545, 30.674831, 30.674831
77, 556, 41.376793, 41.376793
87, 581, 52.443474, 52.443474
107, 592, 63.939667, 63.939667
118, 614, 76.413429, 76.413429
139, 625, 89.905144, 89.905144
151, 637, 104.307602, 104.307602
176, 661, 119.669395, 119.669395
186, 672, 135.898911, 135.898911
207, 697, 152.430252, 152.430252
220, 709, 168.983185, 168.983185
231, 720, 185.076447, 185.076447
257, 748, 200.855484, 200.855484
269, 762, 217.231552, 217.231552
293, 784, 234.259415, 234.259415
303, 796, 251.576492, 251.576492
325, 819, 268.789520, 268.789520
336, 831, 285.757904, 285.757904
349, 842, 302.042114, 302.042114
369, 866, 317.678741, 317.678741
381, 878, 333.282684, 333.282684
403, 901, 349.086151, 349.086151
415, 915, 365.220886, 365.220886
437, 936, 381.647369, 381.647369
457, 958, 398.745209, 398.745209
